metabolite,median_high,median_low,log2_fc,wilcoxon_stat,p_value,q_value,significant_fdr
3-hydroxydodecanedioate*,-0.6982533931732178,-0.030478686094284058,4.517878067705975,87.5,0.11284427926790475,0.9423400569916458,False
N-lactoyl isoleucine,-0.21887201070785522,0.25211799144744873,,85.0,0.1157909340554648,0.9423400569916458,False
3-sulfo-alanine,0.43932265043258667,-0.008404185064136982,,175.0,0.11593177115216242,0.9423400569916458,False
vanillylmandelate (VMA),0.04425445571541786,0.45955872535705566,-3.37635460323791,85.0,0.11600217892265977,0.9423400569916458,False
2-linoleoyl-GPE (18:2)*,-0.06939196586608887,0.1065138578414917,,85.0,0.1160256465804349,0.9423400569916458,False
glycerol,-0.15531280636787415,0.24374821782112122,,85.0,0.1160256465804349,0.9423400569916458,False
N-palmitoyl-sphinganine (d18:0/16:0),0.01231382880359888,0.2852621376514435,-4.5339369405545495,85.0,0.1160256465804349,0.9423400569916458,False
docosahexaenoate (DHA; 22:6n3),-0.27721863985061646,0.2573082745075226,,85.0,0.1160256465804349,0.9423400569916458,False
malonate,-0.023860812187194824,0.04489816725254059,,85.0,0.1160256465804349,0.9423400569916458,False
phenylalanine,-0.05979511886835098,0.10334089398384094,,85.0,0.1160256465804349,0.9423400569916458,False
1-(1-enyl-palmitoyl)-GPE (P-16:0)*,-0.10677090287208557,0.03500422090291977,,85.0,0.1160256465804349,0.9423400569916458,False
delta-CEHC glucuronide,-0.2701846659183502,-0.7410954833030701,-1.4557136346070696,172.5,0.12045020574111857,0.9423400569916458,False
cytidine,0.052998680621385574,-0.32148003578186035,,174.0,0.12309200453276387,0.9423400569916458,False
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,-0.08265142142772675,0.06270720809698105,,86.0,0.12445067296309024,0.9423400569916458,False
1-stearoyl-2-arachidonoyl-GPE (18:0/20:4),0.06974014639854431,-0.07172498852014542,,174.0,0.12445067296309024,0.9423400569916458,False
fructose,-0.267985075712204,0.08441077172756195,,86.0,0.12445067296309024,0.9423400569916458,False
"branched-chain, straight-chain, or cyclopropyl 10:1 fatty acid (1)*",-0.0734812393784523,0.36781787872314453,,86.0,0.12445067296309024,0.9423400569916458,False
glycodeoxycholate,-0.24373096227645874,0.6037760972976685,,86.0,0.12445067296309024,0.9423400569916458,False
1-methylhistamine,0.013685502111911774,-0.8866103887557983,,173.0,0.12782087522249103,0.9423400569916458,False
methionine sulfone,0.11663685739040375,-0.06651931256055832,,173.5,0.12881381205656536,0.9423400569916458,False
N-formylphenylalanine,-0.7263167500495911,-0.19831708073616028,1.8727899119148899,90.5,0.1302828961801822,0.9423400569916458,False
leukotriene B5,-0.11353832483291626,0.2034786194562912,,87.0,0.13194458586752683,0.9423400569916458,False
tridecenedioate (C13:1-DC)*,-0.08751934766769409,0.2617460787296295,,87.0,0.1333454381455339,0.9423400569916458,False
1-palmitoyl-2-linoleoyl-GPE (16:0/18:2),0.1170271784067154,-0.08362241089344025,,173.0,0.1333454381455339,0.9423400569916458,False
"bilirubin degradation product, C16H18N2O5 (2)**",0.1640702486038208,-0.3730083107948303,,173.0,0.1333454381455339,0.9423400569916458,False
1-linoleoyl-GPE (18:2)*,-0.030211560428142548,0.20823663473129272,,87.0,0.1333454381455339,0.9423400569916458,False
1-(1-enyl-palmitoyl)-2-docosahexaenoyl-GPE (P-16:0/22:6)*,-0.12575078010559082,0.022967306897044182,,87.0,0.1333454381455339,0.9423400569916458,False
